Open,Low,High,Close,Volume,year,Date
12.9186,12.8629,13.3071,13.2429,24053600,2009,2009-01-08
13.3157,12.8771,13.34,12.94,19530200,2009,2009-01-09
12.9229,12.5071,12.9986,12.6657,22061300,2009,2009-01-12
12.6057,12.3357,12.82,12.53,28514200,2009,2009-01-13
12.32,12.1029,12.4643,12.19,36488000,2009,2009-01-14
11.5086,11.4357,12.0171,11.9114,65415500,2009,2009-01-15
12.0429,11.4857,12.0543,11.7614,37415200,2009,2009-01-16
11.7043,11.1714,11.7143,11.1714,32854100,2009,2009-01-20
11.35,11.33,11.84,11.8329,38902500,2009,2009-01-21
12.5714,12.26,12.8571,12.6229,50340300,2009,2009-01-22
12.4014,12.3571,12.8386,12.6229,27277500,2009,2009-01-23
12.6971,12.6143,12.9957,12.8057,24722800,2009,2009-01-26
12.8843,12.82,13.0786,12.9614,22072800,2009,2009-01-27
13.1643,13.0714,13.5714,13.4571,30764500,2009,2009-01-28
13.2986,13.2286,13.4771,13.2857,21168900,2009,2009-01-29
13.2314,12.8586,13.3743,12.8757,23267100,2009,2009-01-30
12.7286,12.7,13.1429,13.0729,19937400,2009,2009-02-02
13.1314,12.8971,13.34,13.2829,21403900,2009,2009-02-03
13.32,13.3,13.75,13.3643,28872200,2009,2009-02-04
13.2529,13.2314,13.8929,13.78,26758800,2009,2009-02-05
13.8571,13.8571,14.2857,14.2457,24543200,2009,2009-02-06
14.4521,14.2143,14.7143,14.6443,25536100,2009,2009-02-09
14.4529,13.8657,14.6443,13.9757,30323600,2009,2009-02-10
13.7643,13.6814,14.0443,13.8314,24106200,2009,2009-02-11
13.69,13.69,14.25,14.1814,29185300,2009,2009-02-12
14.1586,14.0171,14.2771,14.1657,21749200,2009,2009-02-13
13.8271,13.4686,13.8629,13.5043,24222800,2009,2009-02-17
13.5757,13.2457,13.6929,13.4814,24456400,2009,2009-02-18
13.3386,12.8729,13.4643,12.9486,32957300,2009,2009-02-19
12.7714,12.7143,13.2,13.0286,26797000,2009,2009-02-20
13.0857,12.3586,13.1429,12.4214,28106500,2009,2009-02-23
12.4925,12.4286,12.9843,12.8929,28825200,2009,2009-02-24
12.8371,12.75,13.2743,13.0229,29751900,2009,2009-02-25
13.1429,12.7086,13.2743,12.7414,22495300,2009,2009-02-26
12.5586,12.5243,13.0429,12.7586,25237800,2009,2009-02-27
12.7586,12.5243,13.0286,12.5629,27533200,2009,2009-03-02
12.69,12.5543,12.9629,12.6243,25869300,2009,2009-03-03
12.8914,12.7786,13.2529,13.0243,26478700,2009,2009-03-04
12.8929,12.6357,13.1243,12.6914,25246400,2009,2009-03-05
12.62,11.7614,12.6286,12.1857,36112400,2009,2009-03-06
12.0171,11.7957,12.5143,11.8729,24939200,2009,2009-03-09
12.1243,12.0514,12.7386,12.6611,30152100,2009,2009-03-10
12.8429,12.7971,13.4386,13.24,30227600,2009,2009-03-11
13.2815,13.1429,13.7971,13.7643,27444900,2009,2009-03-12
13.7571,13.5729,13.8857,13.7043,21470300,2009,2009-03-13
13.7786,13.4543,13.9129,13.6314,28473000,2009,2009-03-16
13.6086,13.5814,14.2414,14.2371,28094500,2009,2009-03-17
14.2729,14.2457,14.7829,14.5029,28429900,2009,2009-03-18
14.5586,14.3214,14.7429,14.5171,17863600,2009,2009-03-19
14.5843,14.3671,14.73,14.5129,24842400,2009,2009-03-20
14.6729,14.5357,15.4514,15.38,23799900,2009,2009-03-23
15.1943,15.0553,15.6343,15.2614,22879000,2009,2009-03-24
15.3686,14.8371,15.48,15.2129,23093500,2009,2009-03-25
15.4043,15.3686,15.7114,15.6957,22009000,2009,2009-03-26
